datetime,slot,type,text,tweet_id,status,chars
2026-04-13T11:46:04.680980+00:00,morning,market_data,Analyst consensus on $NTDOY: Overweight |  | Price: ~$13.0 | What's driving it: Zelda OoT Remake + Star Fox (2H 2026) |  | More data at Games & Stock dashboard. |  | #GameInvesting #StockMarket,,test,179
2026-04-13T11:46:04.716335+00:00,midday,game_analysis,Tracking: Marvel's Wolverine (Insomniac Games / Sony) |  | Our signal: Diluted | $SONY |  | We analyze the correlation between game launches and stock movements. |  | #GamingInvestor,,test,170
2026-04-13T11:46:04.752004+00:00,evening,engagement,Quick poll: Do you check Google Trends before investing in gaming stocks? |  | Our data shows a 0.749 correlation between Trends consistency and pre-launch stock gains. |  | Thoughts? |  | #DataDriven #Investing,,test,199
2026-04-13T11:46:10.945075+00:00,morning,market_data,"$TTWO — Strong Buy |  | Current: ~$197.07 | Key catalyst: GTA VI — Nov 19, 2026 |  | Full analysis on our dashboard. |  | #Gaming #Stocks #Investment",,test,135
2026-04-13T11:46:10.982166+00:00,midday,game_analysis,Tracking: Zelda: OoT Remake (filtrado) (Nintendo) |  | Our signal: Watch | $NTDOY |  | We analyze the correlation between game launches and stock movements. |  | #GamingInvestor,,test,165
2026-04-13T11:46:11.016581+00:00,evening,engagement,Which game launch will impact stocks the most in 2026? |  | A) GTA VI ($TTWO) | B) Zelda OoT Remake ($NTDOY) | C) Silent Hill Townfall ($KNAMF) | D) Pragmata ($CCOEY) |  | Reply with your pick! |  | #GamingStocks #Poll,,test,200
2026-04-13T11:46:11.050747+00:00,morning,market_data,Analyst consensus on $CCOEY: Outperform |  | Price: ~$10.41 | What's driving it: Pragmata + Onimusha + unannounced |  | More data at Games & Stock dashboard. |  | #GameInvesting #StockMarket,,test,176
2026-04-13T11:46:11.085400+00:00,midday,game_analysis,Onimusha: Way of the Sword by Capcom |  | Stock signal: Watch | Ticker: $CCOEY |  | How will this launch affect the stock? We track it on our dashboard. |  | #GameAnalysis #Stocks,,test,165
2026-04-13T11:46:11.119338+00:00,evening,engagement,Hot take: GTA VI will move $TTWO more than any single game has moved a stock in the last 10 years. |  | Agree or disagree? |  | #GTAVI #TTWO #GamingInvestor,,test,148
2026-04-13T11:46:17.683585+00:00,morning,market_data,"$TTWO update: | Rating: Strong Buy | Price: ~$197.07 |  | GTA VI — Nov 19, 2026 |  | Track all gaming stocks on our dashboard. |  | #GamingStocks #TTWO",,test,135
2026-04-13T11:46:17.720106+00:00,midday,game_analysis,"Tracking: Star Fox (nuevo, filtrado) (Nintendo) |  | Our signal: Watch | $NTDOY |  | We analyze the correlation between game launches and stock movements. |  | #GamingInvestor",,test,163
2026-04-13T11:46:17.755616+00:00,evening,engagement,Which game launch will impact stocks the most in 2026? |  | A) GTA VI ($TTWO) | B) Zelda OoT Remake ($NTDOY) | C) Silent Hill Townfall ($KNAMF) | D) Pragmata ($CCOEY) |  | Reply with your pick! |  | #GamingStocks #Poll,,test,200
2026-04-13T11:46:17.792608+00:00,morning,market_data,$CCOEY update: | Rating: Outperform | Price: ~$10.41 |  | Pragmata + Onimusha + unannounced |  | Track all gaming stocks on our dashboard. |  | #GamingStocks #CCOEY,,test,148
2026-04-13T11:46:17.827789+00:00,midday,game_analysis,Ace Combat 8 by Bandai Namco |  | Stock signal: Watch | Ticker: $NCBDY |  | How will this launch affect the stock? We track it on our dashboard. |  | #GameAnalysis #Stocks,,test,157
2026-04-13T11:46:17.862945+00:00,evening,engagement,Hot take: GTA VI will move $TTWO more than any single game has moved a stock in the last 10 years. |  | Agree or disagree? |  | #GTAVI #TTWO #GamingInvestor,,test,148
2026-04-13T11:46:17.897471+00:00,weekend,gaming_casual,"Weekend gaming plans? |  | While you play, we track how game launches affect stock prices. |  | 19 titles. 7 companies. Updated daily. |  | Happy gaming! |  | #WeekendGaming #GamesAndStock",,test,172
2026-04-13T11:46:17.931912+00:00,weekend,gaming_casual,"Weekend gaming plans? |  | While you play, we track how game launches affect stock prices. |  | 19 titles. 7 companies. Updated daily. |  | Happy gaming! |  | #WeekendGaming #GamesAndStock",,test,172
2026-04-13T11:50:05.559787+00:00,morning,market_data,Analyst consensus on $NTDOY: Overweight |  | Price: ~$13.0 | What's driving it: Zelda OoT Remake + Star Fox (2H 2026) |  | More data at Games & Stock dashboard. |  | #GameInvesting #StockMarket,,test,179
2026-04-13T11:50:06.773945+00:00,midday,game_analysis,Tracking: FF VII Rebirth (Switch 2/Xbox) (Square Enix) |  | Our signal: Neutral | $SQNXF |  | We analyze the correlation between game launches and stock movements. |  | #GamingInvestor,,test,172
2026-04-13T11:50:07.353448+00:00,evening,engagement,"What's your gaming stock strategy? |  | 1. Buy pre-launch, sell at release | 2. Buy post-launch dip | 3. Hold long term | 4. Avoid gaming stocks entirely |  | Let us know! |  | #StockStrategy #Gaming",,test,181
2026-04-13T11:50:08.067806+00:00,weekend,gaming_casual,Sunday check-in: |  | Most anticipated game this year? |  | Our top signal: GTA VI (Score: 79/100) | Our top watch: Pragmata (Capcom test case) |  | What are you watching? |  | #GamingCommunity,,test,175
2026-04-13T11:55:20.032141+00:00,morning,market_data,$NTDOY is rated Overweight right now (~$13.0). |  | Zelda OoT Remake + Star Fox (2H 2026) — that's the key driver according to analysts. |  | All data free on our dashboard. |  | https://lagentedetom.github.io/games-and-stock/,,test,214
2026-04-13T11:55:20.068673+00:00,midday,game_analysis,Silent Hill: Townfall — is the market paying attention? |  | Our signal for $KNAMF: Buy |  | Sometimes the best opportunities are the ones nobody's talking about. |  | https://lagentedetom.github.io/games-and-stock/,,test,203
2026-04-13T11:55:20.103528+00:00,evening,engagement,We're curious — how many of you follow gaming stocks? |  | Is this a niche thing or are more people connecting the dots between game launches and stock performance? |  | Retweet if you think this is underrated.,,test,202
2026-04-13T11:55:20.139153+00:00,weekend,engagement,Do you check Google Trends before investing in gaming stocks? |  | Our data shows a strong correlation between sustained hype and pre-launch stock gains. |  | Curious if anyone else does this.,,test,184
2026-04-13T11:55:24.833793+00:00,midday,game_analysis,Let's talk about Castlevania: Belmont's Curse. |  | Company: Konami | Ticker: $KNAMF | Our signal: Buy |  | How will this launch affect the stock? That's exactly what we track. |  | https://lagentedetom.github.io/games-and-stock/,,test,213
2026-04-13T11:55:24.872929+00:00,midday,game_analysis,Let's talk about Zelda: OoT Remake (filtrado). |  | Company: Nintendo | Ticker: $NTDOY | Our signal: Watch |  | How will this launch affect the stock? That's exactly what we track. |  | https://lagentedetom.github.io/games-and-stock/,,test,217
2026-04-13T11:55:24.908213+00:00,midday,game_analysis,GTA VI — is the market paying attention? |  | Our signal for $TTWO: Strong Buy |  | Sometimes the best opportunities are the ones nobody's talking about. |  | https://lagentedetom.github.io/games-and-stock/,,test,194
2026-04-13T11:55:24.943804+00:00,midday,game_analysis,Let's talk about FF VII Rebirth (Switch 2/Xbox). |  | Company: Square Enix | Ticker: $SQNXF | Our signal: Neutral |  | How will this launch affect the stock? That's exactly what we track. |  | https://lagentedetom.github.io/games-and-stock/,,test,224
2026-04-13T11:55:24.979381+00:00,midday,game_analysis,Pragmata — is the market paying attention? |  | Our signal for $CCOEY: Watch |  | Sometimes the best opportunities are the ones nobody's talking about. |  | https://lagentedetom.github.io/games-and-stock/,,test,192
2026-04-13T11:55:25.015289+00:00,midday,game_analysis,Let's talk about Ace Combat 8. |  | Company: Bandai Namco | Ticker: $NCBDY | Our signal: Watch |  | How will this launch affect the stock? That's exactly what we track. |  | https://lagentedetom.github.io/games-and-stock/,,test,205
2026-04-13T11:55:30.099488+00:00,evening,engagement,Which game launch will impact stocks the most in 2026? |  | A) GTA VI ($TTWO) | B) Zelda OoT Remake ($NTDOY) | C) Silent Hill Townfall ($KNAMF) | D) Pragmata ($CCOEY) |  | Reply with your pick!,,test,179
2026-04-13T11:55:30.136441+00:00,evening,engagement,Honest question: do you think gaming stocks are undervalued or overvalued right now? |  | We see opportunities in mid-caps like $KNAMF and $CCOEY. But mega-caps? Hard to move the needle. |  | What's your take?,,test,201
2026-04-13T11:55:30.171533+00:00,evening,engagement,"What's your gaming stock strategy? |  | 1. Buy pre-launch, sell at release | 2. Buy post-launch dip | 3. Hold long term | 4. Avoid gaming stocks entirely |  | Let us know!",,test,157
2026-04-13T11:55:30.207325+00:00,evening,engagement,"If you could only invest in ONE gaming stock for the rest of 2026, which one? |  | $TTWO — GTA VI play | $KNAMF — Konami revival | $CCOEY — Capcom pipeline | $CDR.WA — Witcher IV (long) |  | Reply below.",,test,189
2026-04-13T11:55:30.874940+00:00,weekend,gaming_opinion,Trump tariffs hit gaming stocks hard this quarter — the index dropped 300+ points in Q1. |  | But the best gaming companies adapt. The question is which ones. |  | We track 7 companies daily to find out. |  | https://lagentedetom.github.io/games-and-stock/,,test,244
2026-04-13T11:55:30.912742+00:00,weekend,engagement,Which game launch will impact stocks the most in 2026? |  | A) GTA VI ($TTWO) | B) Zelda OoT Remake ($NTDOY) | C) Silent Hill Townfall ($KNAMF) | D) Pragmata ($CCOEY) |  | Reply with your pick!,,test,179
2026-04-13T11:55:30.949059+00:00,weekend,game_hype_check,"Star Fox announcement reportedly imminent. |  | A new Star Fox with online multiplayer? In 2026? If Nintendo plays this right, it could be a sleeper hit for $NTDOY. |  | We'll be tracking the Google Trends data as soon as it drops. |  | https://lagentedetom.github.io/games-and-stock/",,test,272
2026-04-13T11:55:30.984637+00:00,weekend,platform_story,"Games & Stock is available in English and Spanish. |  | Same data, same updates, two languages. |  | Because gaming stocks don't care what language you speak. |  | https://lagentedetom.github.io/games-and-stock/",,test,199
2026-04-13T11:55:31.913078+00:00,morning,market_data,"$TTWO is rated Strong Buy right now (~$197.07). |  | GTA VI — Nov 19, 2026 — that's the key driver according to analysts. |  | All data free on our dashboard. |  | https://lagentedetom.github.io/games-and-stock/",,test,199
2026-04-13T11:55:31.950168+00:00,morning,market_data,Analysts are outperform on $CCOEY (~$10.41). |  | Main catalyst: Pragmata + Onimusha + unannounced |  | Is this the right time to pay attention? We think so. |  | https://lagentedetom.github.io/games-and-stock/,,test,198
2026-04-13T11:55:31.985663+00:00,morning,market_data,Quick update on $CCOEY: |  | Analysts say Outperform at ~$10.41. | The catalyst? Pragmata + Onimusha + unannounced. |  | We track this daily on our dashboard. |  | https://lagentedetom.github.io/games-and-stock/,,test,197
2026-04-13T11:55:32.019810+00:00,morning,market_data,Analysts are outperform on $CCOEY (~$10.41). |  | Main catalyst: Pragmata + Onimusha + unannounced |  | Is this the right time to pay attention? We think so. |  | https://lagentedetom.github.io/games-and-stock/,,test,198
2026-04-13T20:25:36.906103+00:00,evening,engagement,Do you check Google Trends before investing in gaming stocks? |  | Our data shows a strong correlation between sustained hype and pre-launch stock gains. |  | Curious if anyone else does this.,,test,184
2026-04-13T20:27:43.102822+00:00,evening,engagement,Which game launch will impact stocks the most in 2026? |  | A) GTA VI ($TTWO) | B) Zelda OoT Remake (NTDOY) | C) Silent Hill Townfall (KNAMF) | D) Pragmata (CCOEY) |  | Reply with your pick!,,test,176
2026-04-13T20:27:43.137530+00:00,evening,engagement,We're curious — how many of you follow gaming stocks? |  | Is this a niche thing or are more people connecting the dots between game launches and stock performance? |  | Retweet if you think this is underrated.,,test,202
2026-04-13T20:27:43.174988+00:00,evening,engagement,We're curious — how many of you follow gaming stocks? |  | Is this a niche thing or are more people connecting the dots between game launches and stock performance? |  | Retweet if you think this is underrated.,,test,202
2026-04-13T20:27:43.209509+00:00,evening,engagement,We're curious — how many of you follow gaming stocks? |  | Is this a niche thing or are more people connecting the dots between game launches and stock performance? |  | Retweet if you think this is underrated.,,test,202
2026-04-13T20:27:43.243559+00:00,evening,engagement,Hot take: GTA VI will move $TTWO more than any single game has moved a stock in the last 10 years. |  | Agree or disagree?,,test,118
2026-04-13T20:27:43.281323+00:00,evening,engagement,Which game launch will impact stocks the most in 2026? |  | A) GTA VI ($TTWO) | B) Zelda OoT Remake (NTDOY) | C) Silent Hill Townfall (KNAMF) | D) Pragmata (CCOEY) |  | Reply with your pick!,,test,176
2026-04-13T20:27:43.315917+00:00,evening,engagement,Which game launch will impact stocks the most in 2026? |  | A) GTA VI ($TTWO) | B) Zelda OoT Remake (NTDOY) | C) Silent Hill Townfall (KNAMF) | D) Pragmata (CCOEY) |  | Reply with your pick!,,test,176
2026-04-13T20:27:43.350490+00:00,evening,engagement,"Name a game that SHOULD move its company's stock but probably won't because the company is too big. |  | We'll start: Fable ($MSFT). Great game, invisible stock impact.",,test,164
2026-04-16T13:01:25.159499+00:00,morning,investment_signal,"Signal Score update — Fable |  | Score: 18/100 (Diluted) | $MSFT |  | A single game barely moves the needle at Microsoft. |  | All scores updated daily, free. |  | https://lagentedetom.github.io/games-and-stock/",,test,193
2026-04-16T13:01:37.905522+00:00,morning,investment_signal,Our signal on Fable: Diluted (18/100) |  | Ticker: $MSFT |  | A single game barely moves the needle at Microsoft. |  | What do you think — does this one have legs? |  | https://lagentedetom.github.io/games-and-stock/,,test,200
2026-04-13T11:43:26.6192946Z,morning,market_data,,2043656302426034512,published,0
2026-04-13T20:28:12.1086252Z,evening,engagement,,2043788362134221167,published,0
2026-04-14T07:36:55.0353107Z,morning,game_hype_check,,2043956649602494758,published,0
2026-04-14T11:57:02.0581451Z,midday,game_disappointment,,2044022110440530124,published,0
2026-04-14T17:00:44.3074910Z,evening,platform_highlight,,2044098539974803860,published,0
2026-04-15T08:49:30.5340927Z,morning,market_opinion,,2044337305918591024,published,0
2026-04-15T11:56:02.3541428Z,midday,gaming_fact,,2044384248002425184,published,0
2026-04-15T16:57:50.8967920Z,evening,gaming_opinion,,2044460200883519731,published,0
2026-04-16T08:49:54.4439433Z,morning,investment_signal,,2044699794296414639,published,0
2026-04-16T11:58:21.0196467Z,midday,sector_context,,2044747217290793195,published,0
2026-04-16T13:13:07.0983695Z,morning,investment_signal,,2044766033182121993,published,0
2026-04-16T19:54:23.2324598Z,evening,engagement,,2044867016234836328,published,0
2026-04-17T08:49:14.4180262Z,morning,weekly_recap,,2045062014360256745,published,0
